company_linkedin_url,company_name,linkedin_json
https://www.linkedin.com/company/2319053/,ARPA-E,"{""linkedInId"": ""2319053"", ""name"": ""ARPA-E"", ""universalName"": ""advanced-research-projects-agency-energy-arpa-e-"", ""linkedInUrl"": ""https://www.linkedin.com/company/2319053"", ""employeeCount"": 96, ""followerCount"": 30951, ""employeeCountRange"": {""start"": 51, ""end"": 200}, ""websiteUrl"": ""http://arpa-e.energy.gov"", ""tagline"": null, ""description"": ""The Advanced Research Projects Agency-Energy (ARPA-E) invests in disruptive ideas to create America’s future energy technologies. The Agency’s mission is to accelerate transformational energy innovations that will create a more secure, affordable, and sustainable American future. \r\n\r\nARPA-E focuses exclusively on technologies that would fundamentally change the way we use, generate, and store energy. The Agency invests in innovative ideas from academia, private industry, national labs, start-up companies, and small businesses—providing project teams with an average award of $2-3 million over several years. Every project team receives hands-on guidance to meet ambitious technical milestones that push the boundaries of energy innovation. ARPA-E’s groundbreaking Technology-to-Market program also empowers project teams with business insight and strategies to accelerate the adoption of their potentially game-changing technologies. Learn more: www.arpa-e.energy.gov."", ""industry"": ""Research Services"", ""phone"": null, ""specialities"": [""Energy"", ""Innovation""], ""headquarter"": {""city"": ""Washington"", ""country"": ""US"", ""postalCode"": ""20585"", ""geographicArea"": ""DC"", ""street1"": ""Independence Ave"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQEdU1g_XenDTA/company-logo_400_400/company-logo_400_400/0/1631337265903?e=1743638400&v=beta&t=8KFWcmOcvVjJnICCrttSSM7zcV4SZTKXOJ_tXAQ4btM"", ""foundedOn"": {""year"": 2009}, ""fundingData"": null}"
https://www.linkedin.com/company/2319053/,Advanced Research Projects Agency—Energy (ARPA-E),"{""linkedInId"": ""2319053"", ""name"": ""ARPA-E"", ""universalName"": ""advanced-research-projects-agency-energy-arpa-e-"", ""linkedInUrl"": ""https://www.linkedin.com/company/2319053"", ""employeeCount"": 96, ""followerCount"": 30951, ""employeeCountRange"": {""start"": 51, ""end"": 200}, ""websiteUrl"": ""http://arpa-e.energy.gov"", ""tagline"": null, ""description"": ""The Advanced Research Projects Agency-Energy (ARPA-E) invests in disruptive ideas to create America’s future energy technologies. The Agency’s mission is to accelerate transformational energy innovations that will create a more secure, affordable, and sustainable American future. \r\n\r\nARPA-E focuses exclusively on technologies that would fundamentally change the way we use, generate, and store energy. The Agency invests in innovative ideas from academia, private industry, national labs, start-up companies, and small businesses—providing project teams with an average award of $2-3 million over several years. Every project team receives hands-on guidance to meet ambitious technical milestones that push the boundaries of energy innovation. ARPA-E’s groundbreaking Technology-to-Market program also empowers project teams with business insight and strategies to accelerate the adoption of their potentially game-changing technologies. Learn more: www.arpa-e.energy.gov."", ""industry"": ""Research Services"", ""phone"": null, ""specialities"": [""Energy"", ""Innovation""], ""headquarter"": {""city"": ""Washington"", ""country"": ""US"", ""postalCode"": ""20585"", ""geographicArea"": ""DC"", ""street1"": ""Independence Ave"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQEdU1g_XenDTA/company-logo_400_400/company-logo_400_400/0/1631337265903?e=1743638400&v=beta&t=8KFWcmOcvVjJnICCrttSSM7zcV4SZTKXOJ_tXAQ4btM"", ""foundedOn"": {""year"": 2009}, ""fundingData"": null}"
https://www.linkedin.com/company/309694/,Airbnb,"{""linkedInId"": ""309694"", ""name"": ""Airbnb"", ""universalName"": ""airbnb"", ""linkedInUrl"": ""https://www.linkedin.com/company/309694"", ""employeeCount"": 44897, ""followerCount"": 2802863, ""employeeCountRange"": {""start"": 5001, ""end"": 10000}, ""websiteUrl"": ""http://airbnb.com"", ""tagline"": ""Airbnb is a community based on connection and belonging."", ""description"": ""Airbnb was born in 2007 when two Hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million Hosts who have welcomed over 1.5 billion guest arrivals in almost every country across the globe. Every day, Hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way."", ""industry"": ""Software Development"", ""phone"": null, ""specialities"": [""travel accommodations"", ""collaborative economy"", ""hospitality""], ""headquarter"": {""city"": ""San Francisco"", ""country"": ""US"", ""postalCode"": ""94103"", ""geographicArea"": ""CA"", ""street1"": ""888 Brannan Street"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQFhfl32crIGIw/company-logo_400_400/company-logo_400_400/0/1630637496980/airbnb_logo?e=1743638400&v=beta&t=ma3g9vdjLIR70lnnUv9KFQfAMxVer-JINT3veMT81s4"", ""foundedOn"": {""year"": 2007}, ""fundingData"": {""numberOfFundingRounds"": 29, ""crunchbaseOrganizationUrl"": ""https://www.crunchbase.com/organization/airbnb?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=profile_cta"", ""lastFundingRound"": {""fundingType"": ""Debt financing"", ""moneyRaised"": {""amount"": ""1000000000"", ""currencyCode"": ""USD""}, ""fundingRoundUrl"": ""https://www.crunchbase.com/funding_round/airbnb-debt-financing--efb32168?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=last_funding"", ""announcedOn"": ""2020-04-14T00:00:00.000Z"", ""numberOfOtherInvestors"": 7, ""investorsUrl"": ""https://www.crunchbase.com/funding_round/airbnb-debt-financing--efb32168?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=all_investors"", ""leadInvestors"": []}}}"
https://www.linkedin.com/company/737554/,Alameda County Medical Center,"{""linkedInId"": ""737554"", ""name"": ""Alameda Health System"", ""universalName"": ""alamedahealthsystem"", ""linkedInUrl"": ""https://www.linkedin.com/company/737554"", ""employeeCount"": 2789, ""followerCount"": 26430, ""employeeCountRange"": {""start"": 1001, ""end"": 5000}, ""websiteUrl"": ""http://www.alamedahealthsystem.org"", ""tagline"": ""Caring, Healing, Teaching, Serving All"", ""description"": ""Alameda Health System is the East Bay's premier patient and family-centered care system. Our trauma center and teaching hospital are considered among the best in the country. We are committed to continually improving health through individual patient experiences.\n\nOur mission, Caring, Healing, Teaching, Serving All, speaks to the vital role we play in the community and the critical responsibility we accept in promoting wellness, eliminating disparities and optimizing the health of a diverse East Bay.\n\nOur facilities include the Wilma Chan Highland Hospital Campus, a regional trauma center and teaching hospital, John George Psychiatric Hospital, an acute and emergency care facility, Fairmont Hospital, an acute rehabilitation hospital and skilled nursing facility, longtime community-based hospitals San Leandro Hospital and Alameda Hospital and four neighborhood-based community Wellness Centers located in Oakland, Newark and Hayward.\n\nWe reserve the right to remove any posts or comments that violate patient confidentiality, are offensive, inappropriate or excessive. The views expressed in this forum do not necessarily reflect those of Alameda Health System.\n\nTerms Of Use:\nhttps://www.alamedahealthsystem.org/terms-of-use-social-media/"", ""industry"": ""Hospitals and Health Care"", ""phone"": ""(510) 437-4800"", ""specialities"": [], ""headquarter"": {""city"": null, ""country"": ""US"", ""postalCode"": null, ""geographicArea"": null, ""street1"": null, ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/D560BAQE_v9DqsHpthw/company-logo_400_400/company-logo_400_400/0/1719852441821/alamedahealthsystem_logo?e=1743638400&v=beta&t=SodCNTkeyS9uFEbJgESkTGB6Fp6IPwu9golET-994HI"", ""fundingData"": null}"
https://www.linkedin.com/company/2445746/,Allurion Technologies,"{""linkedInId"": ""2445746"", ""name"": ""Allurion Technologies"", ""universalName"": ""allurion-technologies"", ""linkedInUrl"": ""https://www.linkedin.com/company/2445746"", ""employeeCount"": 234, ""followerCount"": 48218, ""employeeCountRange"": {""start"": 201, ""end"": 500}, ""websiteUrl"": ""http://www.allurion.com"", ""tagline"": ""Allurion was founded in 2009 with one mission: end obesity."", ""description"": ""Allurion was founded in 2009 with one mission: end obesity. The Allurion Program combines medical, digital, and nutritional approaches and engages an entire team to jumpstart weight loss and form lifelong healthy habits.\n\nAllurion has already helped thousands of people around the world lose weight, develop lifelong healthy habits, and transform their lives, with over 100,000 balloons placed, and over 1,000,000kg lost worldwide."", ""industry"": ""Medical Equipment Manufacturing"", ""phone"": null, ""specialities"": [], ""headquarter"": {""city"": ""Natick"", ""country"": ""US"", ""postalCode"": ""01760"", ""geographicArea"": ""MA"", ""street1"": ""14 Huron Drive"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C4E0BAQH0OG_0n2HoAw/company-logo_400_400/company-logo_400_400/0/1675955321825/allurion_technologies_logo?e=1743638400&v=beta&t=94sZ69OA8OFYuou2bQuuGS1lEbTWlERQEJcOStYuhhU"", ""foundedOn"": {""year"": 2009}, ""fundingData"": {""numberOfFundingRounds"": 13, ""crunchbaseOrganizationUrl"": ""https://www.crunchbase.com/organization/allurion-technologies?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=profile_cta"", ""lastFundingRound"": {""fundingType"": ""Post IPO equity"", ""moneyRaised"": {""amount"": ""20000000"", ""currencyCode"": ""USD""}, ""fundingRoundUrl"": ""https://www.crunchbase.com/funding_round/allurion-technologies-post-ipo-equity--812b6055?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=last_funding"", ""announcedOn"": ""2024-06-28T00:00:00.000Z"", ""numberOfOtherInvestors"": 1, ""investorsUrl"": ""https://www.crunchbase.com/funding_round/allurion-technologies-post-ipo-equity--812b6055?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=all_investors"", ""leadInvestors"": []}}}"
https://www.linkedin.com/company/2382910/,Amazon Web Services (AWS),"{""linkedInId"": ""2382910"", ""name"": ""Amazon Web Services (AWS)"", ""universalName"": ""amazon-web-services"", ""linkedInUrl"": ""https://www.linkedin.com/company/2382910"", ""employeeCount"": 136856, ""followerCount"": 9811508, ""employeeCountRange"": {""start"": 10001, ""end"": 1}, ""websiteUrl"": ""http://aws.amazon.com"", ""tagline"": ""Official Global LinkedIn page for Amazon Web Services (AWS)."", ""description"": ""Launched in 2006, Amazon Web Services (AWS) began exposing key infrastructure services to businesses in the form of web services -- now widely known as cloud computing. The ultimate benefit of cloud computing, and AWS, is the ability to leverage a new business model and turn capital infrastructure expenses into variable costs. Businesses no longer need to plan and procure servers and other IT resources weeks or months in advance. Using AWS, businesses can take advantage of Amazon's expertise and economies of scale to access resources when their business needs them, delivering results faster and at a lower cost.\r\n\r\nToday, Amazon Web Services provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. With data center locations in the U.S., Europe, Singapore, and Japan, customers across all industries are taking advantage of our low cost, elastic, open and flexible, secure platform."", ""industry"": ""IT Services and IT Consulting"", ""phone"": null, ""specialities"": [], ""headquarter"": {""city"": ""Seattle"", ""country"": ""US"", ""postalCode"": ""98019"", ""geographicArea"": ""WA"", ""street1"": ""410 Terry Ave N"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQER_QnUTXrPJw/company-logo_400_400/company-logo_400_400/0/1670264051233/amazon_web_services_logo?e=1743638400&v=beta&t=8TpicpOqxtxRLE1_RZNFanZ6NXr2ctyuf_4RmhGD7eI"", ""foundedOn"": {""year"": 2006}, ""fundingData"": null}"
https://www.linkedin.com/company/1550928/,AmeriCorps St. Louis,"{""linkedInId"": ""1550928"", ""name"": ""AmeriCorps St. Louis"", ""universalName"": ""americorps-st.-louis"", ""linkedInUrl"": ""https://www.linkedin.com/company/1550928"", ""employeeCount"": 44, ""followerCount"": 731, ""employeeCountRange"": {""start"": 11, ""end"": 50}, ""websiteUrl"": ""http://www.americorpsstl.org"", ""tagline"": ""See The Need, Meet The Need ~ Celebrating 30 Years of Service"", ""description"": ""Since 1994, inspired people from across America have brought to St. Louis their enthusiasm, their talents and a commitment to serve their country. AmeriCorps St. Louis has distinguished itself as one of the leading AmeriCorps programs in the nation through a long and impressive history. Each year the program recruits nearly 40 Members to serve as part of our Emergency Response Team. In all, AmeriCorps St. Louis Members have committed more than three million hours of service – getting things done for St. Louis and the nation.\n\nThe impact of AmeriCorps St. Louis on the region, on its Members, and on those who benefit from its services, is profound. Our region’s natural habitats are preserved for future generations by the Emergency Response Team. Communities, neighborhoods, and agencies are organized into new collaborations to provide more effective disaster preparedness programs. Families in their darkest hours are given relief after a disaster strikes.\n\nFor those who serve as AmeriCorps Members, the desire to give back does not end after one year. Former members are significantly more likely to enter careers in public service, many devoting their lives to disaster response, military service, natural resource conservation, or social work. The St. Louis region benefits from the many alums of our program that remain in the area, revitalizing the city through their commitment to the community and its residents."", ""industry"": ""Environmental Services"", ""phone"": ""314-772-9002"", ""specialities"": [""Conservation"", ""Disaster Response"", ""Emergency Sheltering"", ""Wildland Fire"", ""AmeriCorps"", ""Nonprofit"", ""National Service"", ""Homeless Shelter"", ""Forestry"", ""Environmental Stewardship"", ""Trail"", ""Invasive Species"", ""Corps"", ""Team"", ""Leadership"", ""Teamwork""], ""headquarter"": {""city"": ""St. Louis"", ""country"": ""US"", ""postalCode"": ""63104"", ""geographicArea"": ""Missouri"", ""street1"": ""1315 Ann Ave."", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C4E0BAQGFQeEDDkxTFg/company-logo_400_400/company-logo_400_400/0/1630580100739/americorps_st_louis_logo?e=1743638400&v=beta&t=s3t7kEw6ofdWc_LIc3Qt9K4lxf5fZpI2Mq9EEtWeVYQ"", ""foundedOn"": {""year"": 1994}, ""fundingData"": null}"
https://www.linkedin.com/company/11523/,Ann & Robert H. Lurie Children's Hospital of Chicago,"{""linkedInId"": ""11523"", ""name"": ""Ann & Robert H. Lurie Children's Hospital of Chicago"", ""universalName"": ""ann-and-robert-h-lurie-children's-hospital-of-chicago"", ""linkedInUrl"": ""https://www.linkedin.com/company/11523"", ""employeeCount"": 6600, ""followerCount"": 67807, ""employeeCountRange"": {""start"": 1001, ""end"": 5000}, ""websiteUrl"": ""http://www.luriechildrens.org"", ""tagline"": ""All the commitment, all the services, all the care. All, for your one."", ""description"": ""Ann & Robert H. Lurie Children's Hospital of Chicago is the largest pediatric healthcare provider in the region with a 130 year legacy of excellence. We are proud to serve as the pediatric teaching and research partner of Northwestern University Feinberg School of Medicine, and are ranked nationally in all 10 pediatric specialties by U.S. News & World Report."", ""industry"": ""Hospitals and Health Care"", ""phone"": null, ""specialities"": [""Allergy and Immunology"", ""Brain Tumors"", ""Oncology"", ""Neurosurgery"", ""Palliative Care"", ""Emergency Medicine"", ""Fetal Conditions"", ""Pulmonary Medicine"", ""Sports Medicine"", ""Urology"", ""Kidney Disease"", ""Neurology"", ""Orthopedics"", ""Gastroenterology"", ""Neonatology"", ""Cardiology and Heart Surgery""], ""headquarter"": {""city"": ""Chicago"", ""country"": ""US"", ""postalCode"": ""60611"", ""geographicArea"": ""IL"", ""street1"": ""225 East Chicago Ave."", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQE73nnjlp-hng/company-logo_400_400/company-logo_400_400/0/1631301808139?e=1743638400&v=beta&t=5ZBm6lXpiIFdFtK-X2qEEfelaZ5pI0BlnpFhY0pJdNA"", ""fundingData"": {""numberOfFundingRounds"": 3, ""crunchbaseOrganizationUrl"": ""https://www.crunchbase.com/organization/lurie-childrens-hospital?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=profile_cta"", ""lastFundingRound"": {""fundingType"": ""Grant"", ""moneyRaised"": {""amount"": ""3700000"", ""currencyCode"": ""USD""}, ""fundingRoundUrl"": ""https://www.crunchbase.com/funding_round/lurie-childrens-hospital-grant--00dbd573?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=last_funding"", ""announcedOn"": ""2024-11-04T00:00:00.000Z"", ""numberOfOtherInvestors"": 0, ""investorsUrl"": ""https://www.crunchbase.com/funding_round/lurie-childrens-hospital-grant--00dbd573?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=all_investors"", ""leadInvestors"": [{""name"": ""National Cancer Institute"", ""url"": ""https://www.crunchbase.com/organization/national-cancer-institute?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=investor"", ""image"": ""https://media.licdn.com/dms/image/sync/v2/D5638AQGB1Xpx7VLbVQ/crunchbase_investor_logo_100/crunchbase_investor_logo_100/0/1734499026803?e=1736226000&v=beta&t=56hTvUpk8T7u2BpCnBWFohomMmxTtB9Lf4ZbzDRBAhU""}]}}}"
https://www.linkedin.com/company/11965473/,Anna Cummings,"{""linkedInId"": ""11965473"", ""name"": ""Anna Cummings"", ""universalName"": ""anna-cummings"", ""linkedInUrl"": ""https://www.linkedin.com/company/11965473"", ""employeeCount"": 0, ""followerCount"": 1, ""employeeCountRange"": {""start"": 0, ""end"": 1}, ""websiteUrl"": ""http://www.annacummings.co.uk"", ""tagline"": null, ""description"": null, ""industry"": ""Wellness and Fitness Services"", ""phone"": null, ""specialities"": [], ""headquarter"": {""city"": null, ""country"": ""GB"", ""postalCode"": null, ""geographicArea"": null, ""street1"": null, ""street2"": null}, ""logo"": null, ""fundingData"": null}"
https://www.linkedin.com/company/162479/,Apple,"{""linkedInId"": ""162479"", ""name"": ""Apple"", ""universalName"": ""apple"", ""linkedInUrl"": ""https://www.linkedin.com/company/162479"", ""employeeCount"": 168811, ""followerCount"": 17687588, ""employeeCountRange"": {""start"": 10001, ""end"": 1}, ""websiteUrl"": ""http://www.apple.com/careers"", ""tagline"": null, ""description"": ""We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.\n\nApple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."", ""industry"": ""Computers and Electronics Manufacturing"", ""phone"": null, ""specialities"": [""Innovative Product Development"", ""World-Class Operations"", ""Retail"", ""Telephone Support""], ""headquarter"": {""city"": ""Cupertino"", ""country"": ""US"", ""postalCode"": ""95014"", ""geographicArea"": ""California"", ""street1"": ""1 Apple Park Way"", ""street2"": null}, ""logo"": ""https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_400_400/company-logo_400_400/0/1630637844948/apple_logo?e=1743638400&v=beta&t=CAvxdCvgb7gnd-XCkAxqko0pJA7l7gkhY9iKn_i8VAo"", ""foundedOn"": {""year"": 1976}, ""fundingData"": {""numberOfFundingRounds"": 7, ""crunchbaseOrganizationUrl"": ""https://www.crunchbase.com/organization/apple?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=profile_cta"", ""lastFundingRound"": {""fundingType"": ""Post IPO equity"", ""moneyRaised"": {}, ""fundingRoundUrl"": ""https://www.crunchbase.com/funding_round/apple-post-ipo-equity--45845def?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=last_funding"", ""announcedOn"": ""2021-04-30T00:00:00.000Z"", ""numberOfOtherInvestors"": 1, ""investorsUrl"": ""https://www.crunchbase.com/funding_round/apple-post-ipo-equity--45845def?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=all_investors"", ""leadInvestors"": []}}}"
